source_file,report_month,commodity,marketing_year,estimate_type,vintage,column_order,metric,metric_key,unit,value
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,May,3,"Use, Total",use_total,Million Bushels,4490.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,May,3,Yield per Harvested Acre,yield_per_harvested_acre,Bushels,53.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,Jun,4,Area Harvested,area_harvested,Million Acres,83.7
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,Jun,4,Area Planted,area_planted,Million Acres,84.7
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,Jun,4,Avg.FarmPrice ($/bu),avg_farmprice_bu,$/bu,11.4
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,Jun,4,Beginning Stocks,beginning_stocks,Million Bushels,340.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,Jun,4,Crushings,crushings,Million Bushels,2750.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,Jun,4,Ending Stocks,ending_stocks,Million Bushels,310.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,Jun,4,Exports,exports,Million Bushels,1630.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,Jun,4,Imports,imports,Million Bushels,25.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,Jun,4,Production,production,Million Bushels,4435.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,Jun,4,Residual,residual,Million Bushels,38.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,Jun,4,Seed,seed,Million Bushels,72.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,Jun,4,"Supply, Total",supply_total,Million Bushels,4800.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,Jun,4,"Use, Total",use_total,Million Bushels,4490.0
data/raw/wasde/latest/wasde0626v2.txt,June 2026,SOYBEANS,2026/27,projection,Jun,4,Yield per Harvested Acre,yield_per_harvested_acre,Bushels,53.0
