commodity_desc,statisticcat_desc,unit_desc,short_desc,prodn_practice_desc,util_practice_desc,agg_level_desc,state_alpha,state_name,year,freq_desc,begin_code,end_code,reference_period_desc,Value,value_num,load_time
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2019,MONTHLY,01,01,JAN,"5,492,127",5492127.0,2020-03-02 15:00:11
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2019,MONTHLY,02,02,FEB,"4,883,434",4883434.0,2020-03-02 15:00:11
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2019,MONTHLY,03,03,MAR,"5,383,008",5383008.0,2020-03-02 15:00:11
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2019,MONTHLY,04,04,APR,"5,146,403",5146403.0,2020-03-02 15:00:11
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2019,MONTHLY,05,05,MAY,"4,963,271",4963271.0,2020-03-02 15:00:11
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2019,MONTHLY,06,06,JUN,"4,729,137",4729137.0,2020-03-02 15:00:11
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2019,MONTHLY,07,07,JUL,"5,383,896",5383896.0,2020-03-02 15:00:11
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2019,MONTHLY,08,08,AUG,"5,325,880",5325880.0,2020-03-02 15:00:11
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2019,MONTHLY,09,09,SEP,"4,870,034",4870034.0,2020-03-02 15:00:11
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2019,MONTHLY,10,10,OCT,"5,615,616",5615616.0,2020-03-02 15:00:11
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2019,MONTHLY,11,11,NOV,"5,239,452",5239452.0,2020-03-02 15:00:11
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2019,MONTHLY,12,12,DEC,"5,542,274",5542274.0,2020-03-02 15:00:11
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2018,MONTHLY,01,01,JAN,"5,239,827",5239827.0,2019-03-15 15:06:35
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2018,MONTHLY,02,02,FEB,"4,948,772",4948772.0,2019-03-15 15:06:35
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2018,MONTHLY,03,03,MAR,"5,465,240",5465240.0,2019-03-15 15:06:35
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2018,MONTHLY,04,04,APR,"5,149,147",5149147.0,2019-03-15 15:06:35
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2018,MONTHLY,05,05,MAY,"5,174,040",5174040.0,2019-03-15 15:06:35
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2018,MONTHLY,06,06,JUN,"5,086,941",5086941.0,2019-03-15 15:06:35
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2018,MONTHLY,07,07,JUL,"5,365,828",5365828.0,2019-03-15 15:06:35
SOYBEANS,CRUSHED,TONS,"SOYBEANS - CRUSHED, MEASURED IN TONS",ALL PRODUCTION PRACTICES,ALL UTILIZATION PRACTICES,NATIONAL,US,US TOTAL,2018,MONTHLY,08,08,AUG,"5,088,884",5088884.0,2019-03-15 15:06:35
