commodity,year,stock_date,stock_month,reference_period_desc,agg_level,state_alpha,state_name,stocks_bu,stocks_mbu,on_farm_stocks_bu,on_farm_stocks_mbu,off_farm_stocks_bu,off_farm_stocks_mbu,on_farm_share_pct,off_farm_share_pct,load_time
CORN,2015,2015-03-01,3,FIRST OF MAR,STATE,AZ,ARIZONA,,,,,2493000.0,2.493,,,2019-02-06 15:00:06
CORN,2015,2015-06-01,6,FIRST OF JUN,STATE,AZ,ARIZONA,,,,,2277000.0,2.277,,,2019-02-06 15:00:06
CORN,2015,2015-12-01,12,FIRST OF DEC,STATE,AZ,ARIZONA,,,,,3877000.0,3.877,,,2019-02-06 15:00:06
CORN,2016,2016-03-01,3,FIRST OF MAR,STATE,AZ,ARIZONA,,,,,3540000.0,3.54,,,2019-02-06 15:00:06
CORN,2016,2016-06-01,6,FIRST OF JUN,STATE,AZ,ARIZONA,,,,,1366000.0,1.366,,,2019-02-06 15:00:06
CORN,2016,2016-09-01,9,FIRST OF SEP,STATE,AZ,ARIZONA,,,,,1198000.0,1.198,,,2019-02-06 15:00:06
CORN,2016,2016-12-01,12,FIRST OF DEC,STATE,AZ,ARIZONA,,,,,3944000.0,3.944,,,2019-02-06 15:00:06
CORN,2017,2017-03-01,3,FIRST OF MAR,STATE,AZ,ARIZONA,,,,,2640000.0,2.64,,,2019-02-06 15:00:06
CORN,2017,2017-06-01,6,FIRST OF JUN,STATE,AZ,ARIZONA,,,,,1476000.0,1.476,,,2019-02-06 15:00:06
CORN,2017,2017-09-01,9,FIRST OF SEP,STATE,AZ,ARIZONA,,,,,1284000.0,1.284,,,2019-02-06 15:00:06
CORN,2017,2017-12-01,12,FIRST OF DEC,STATE,AZ,ARIZONA,,,,,3975000.0,3.975,,,2019-02-06 15:00:06
CORN,2018,2018-03-01,3,FIRST OF MAR,STATE,AZ,ARIZONA,,,,,2497000.0,2.497,,,2019-02-06 15:00:06
CORN,2018,2018-06-01,6,FIRST OF JUN,STATE,AZ,ARIZONA,,,,,1999000.0,1.999,,,2019-02-06 15:00:06
CORN,2018,2018-09-01,9,FIRST OF SEP,STATE,AZ,ARIZONA,,,,,1634000.0,1.634,,,2019-02-06 15:00:06
CORN,2018,2018-12-01,12,FIRST OF DEC,STATE,AZ,ARIZONA,,,,,4015000.0,4.015,,,2024-01-09 15:00:00
CORN,2019,2019-03-01,3,FIRST OF MAR,STATE,AZ,ARIZONA,,,,,2790000.0,2.79,,,2024-01-09 15:00:00
CORN,2019,2019-06-01,6,FIRST OF JUN,STATE,AZ,ARIZONA,,,,,1878000.0,1.878,,,2024-01-09 15:00:00
CORN,2019,2019-12-01,12,FIRST OF DEC,STATE,AZ,ARIZONA,,,,,3423000.0,3.423,,,2024-01-09 15:00:00
CORN,2020,2020-03-01,3,FIRST OF MAR,STATE,AZ,ARIZONA,,,,,2774000.0,2.774,,,2024-01-09 15:00:00
CORN,2020,2020-06-01,6,FIRST OF JUN,STATE,AZ,ARIZONA,,,,,2190000.0,2.19,,,2024-01-09 15:00:00
CORN,2020,2020-09-01,9,FIRST OF SEP,STATE,AZ,ARIZONA,,,,,2080000.0,2.08,,,2024-01-09 15:00:00
CORN,2020,2020-12-01,12,FIRST OF DEC,STATE,AZ,ARIZONA,,,,,3308000.0,3.308,,,2024-01-09 15:00:00
CORN,2021,2021-03-01,3,FIRST OF MAR,STATE,AZ,ARIZONA,,,,,2082000.0,2.082,,,2024-01-09 15:00:00
CORN,2021,2021-06-01,6,FIRST OF JUN,STATE,AZ,ARIZONA,,,,,1877000.0,1.877,,,2024-01-09 15:00:00
CORN,2021,2021-09-01,9,FIRST OF SEP,STATE,AZ,ARIZONA,,,,,1671000.0,1.671,,,2024-01-09 15:00:00
CORN,2021,2021-12-01,12,FIRST OF DEC,STATE,AZ,ARIZONA,,,,,2995000.0,2.995,,,2024-01-09 15:00:00
CORN,2022,2022-03-01,3,FIRST OF MAR,STATE,AZ,ARIZONA,,,,,2653000.0,2.653,,,2024-01-09 15:00:00
CORN,2022,2022-06-01,6,FIRST OF JUN,STATE,AZ,ARIZONA,,,,,2738000.0,2.738,,,2024-01-09 15:00:00
CORN,2023,2023-03-01,3,FIRST OF MAR,STATE,AZ,ARIZONA,,,,,3191000.0,3.191,,,2024-01-09 15:00:00
CORN,2023,2023-06-01,6,FIRST OF JUN,STATE,AZ,ARIZONA,,,,,1974000.0,1.974,,,2024-01-09 15:00:00
CORN,2024,2024-06-01,6,FIRST OF JUN,STATE,AZ,ARIZONA,,,,,2816000.0,2.816,,,2025-01-10 12:00:00
CORN,2024,2024-09-01,9,FIRST OF SEP,STATE,AZ,ARIZONA,,,,,3539000.0,3.539,,,2025-01-10 12:00:00
CORN,2024,2024-12-01,12,FIRST OF DEC,STATE,AZ,ARIZONA,,,,,2909000.0,2.909,,,2026-01-12 12:00:00
